Age	Probability_of_dying_between_ages_x_and_x_next	Number_surviving_to_age	Number_dying_between_ages_x_and_x_next	Person-years_lived_between_ages_x_and_x_next	Total_number_of_person-years_lived_above_age_x	Life_expectation_at_age_x
0–1	0.003373	100,000	337	99,699	8,556,211	85.6
1–2	0.000180	99,663	18	99,654	8,456,513	84.9
2–3	0.000161	99,645	16	99,637	8,356,859	83.9
3–4	0.000148	99,629	15	99,621	8,257,222	82.9
4–5	0.000146	99,614	15	99,607	8,157,601	81.9
5–6	0.000103	99,599	10	99,594	8,057,994	80.9
6–7	0.000091	99,589	9	99,585	7,958,400	79.9
7–8	0.000081	99,580	8	99,576	7,858,815	78.9
8–9	0.000071	99,572	7	99,569	7,759,239	77.9
9–10	0.000062	99,565	6	99,562	7,659,671	76.9
10–11	0.000056	99,559	6	99,556	7,560,109	75.9
11–12	0.000059	99,553	6	99,550	7,460,553	74.9
12–13	0.000075	99,547	7	99,544	7,361,002	73.9
13–14	0.000109	99,540	11	99,535	7,261,459	73.0
14–15	0.000155	99,529	15	99,521	7,161,924	72.0
15–16	0.000205	99,514	20	99,504	7,062,403	71.0
16–17	0.000253	99,493	25	99,481	6,962,899	70.0
17–18	0.000299	99,468	30	99,453	6,863,418	69.0
18–19	0.000339	99,438	34	99,422	6,763,965	68.0
19–20	0.000373	99,405	37	99,386	6,664,544	67.0
20–21	0.000407	99,368	40	99,347	6,565,157	66.1
21–22	0.000439	99,327	44	99,305	6,465,810	65.1
22–23	0.000456	99,284	45	99,261	6,366,505	64.1
23–24	0.000457	99,238	45	99,216	6,267,244	63.2
24–25	0.000447	99,193	44	99,171	6,168,028	62.2
25–26	0.000433	99,149	43	99,127	6,068,857	61.2
26–27	0.000424	99,106	42	99,085	5,969,730	60.2
27–28	0.000423	99,064	42	99,043	5,870,645	59.3
28–29	0.000434	99,022	43	99,000	5,771,603	58.3
29–30	0.000454	98,979	45	98,956	5,672,602	57.3
30–31	0.000477	98,934	47	98,910	5,573,646	56.3
31–32	0.000498	98,887	49	98,862	5,474,736	55.4
32–33	0.000513	98,837	51	98,812	5,375,874	54.4
33–34	0.000521	98,787	51	98,761	5,277,062	53.4
34–35	0.000523	98,735	52	98,709	5,178,301	52.4
35–36	0.000529	98,684	52	98,658	5,079,591	51.5
36–37	0.000540	98,631	53	98,605	4,980,934	50.5
37–38	0.000556	98,578	55	98,551	4,882,329	49.5
38–39	0.000578	98,523	57	98,495	4,783,778	48.6
39–40	0.000607	98,466	60	98,437	4,685,283	47.6
40–41	0.000641	98,407	63	98,375	4,586,847	46.6
41–42	0.000684	98,344	67	98,310	4,488,472	45.6
42–43	0.000748	98,276	74	98,240	4,390,162	44.7
43–44	0.000836	98,203	82	98,162	4,291,922	43.7
44–45	0.000939	98,121	92	98,075	4,193,760	42.7
45–46	0.001050	98,029	103	97,977	4,095,686	41.8
46–47	0.001164	97,926	114	97,869	3,997,708	40.8
47–48	0.001282	97,812	125	97,749	3,899,840	39.9
48–49	0.001408	97,686	138	97,617	3,802,091	38.9
49–50	0.001549	97,549	151	97,473	3,704,474	38.0
50–51	0.001714	97,397	167	97,314	3,607,000	37.0
51–52	0.001897	97,231	184	97,138	3,509,686	36.1
52–53	0.002083	97,046	202	96,945	3,412,548	35.2
53–54	0.002255	96,844	218	96,735	3,315,603	34.2
54–55	0.002416	96,626	233	96,509	3,218,868	33.3
55–56	0.002579	96,392	249	96,268	3,122,360	32.4
56–57	0.002763	96,144	266	96,011	3,026,092	31.5
57–58	0.002980	95,878	286	95,735	2,930,081	30.6
58–59	0.003244	95,592	310	95,437	2,834,346	29.7
59–60	0.003555	95,282	339	95,113	2,738,909	28.7
60–61	0.003890	94,943	369	94,759	2,643,796	27.8
61–62	0.004243	94,574	401	94,373	2,549,037	27.0
62–63	0.004632	94,173	436	93,955	2,454,664	26.1
63–64	0.005063	93,737	475	93,499	2,360,709	25.2
64–65	0.005535	93,262	516	93,004	2,267,210	24.3
65–66	0.006049	92,746	561	92,465	2,174,206	23.4
66–67	0.006604	92,185	609	91,880	2,081,741	22.6
67–68	0.007205	91,576	660	91,246	1,989,860	21.7
68–69	0.007861	90,916	715	90,559	1,898,614	20.9
69–70	0.008584	90,202	774	89,814	1,808,055	20.0
70–71	0.009399	89,427	840	89,007	1,718,241	19.2
71–72	0.010311	88,587	913	88,130	1,629,234	18.4
72–73	0.011328	87,673	993	87,177	1,541,104	17.6
73–74	0.012472	86,680	1,081	86,140	1,453,927	16.8
74–75	0.013782	85,599	1,180	85,009	1,367,788	16.0
75–76	0.015300	84,419	1,292	83,773	1,282,779	15.2
76–77	0.017089	83,128	1,421	82,417	1,199,005	14.4
77–78	0.019255	81,707	1,573	80,920	1,116,588	13.7
78–79	0.021672	80,134	1,737	79,265	1,035,668	12.9
79–80	0.024399	78,397	1,913	77,441	956,402	12.2
80–81	0.027401	76,484	2,096	75,436	878,962	11.5
81–82	0.030898	74,389	2,298	73,239	803,525	10.8
82–83	0.035227	72,090	2,540	70,820	730,286	10.1
83–84	0.040124	69,551	2,791	68,155	659,466	9.5
84–85	0.045394	66,760	3,030	65,245	591,310	8.9
85–86	0.052053	63,729	3,317	62,071	526,066	8.3
86–87	0.058672	60,412	3,544	58,640	463,995	7.7
87–88	0.067162	56,868	3,819	54,958	405,355	7.1
88–89	0.076703	53,048	4,069	51,014	350,397	6.6
89–90	0.087373	48,979	4,279	46,840	299,383	6.1
90–91	0.099243	44,700	4,436	42,482	252,543	5.6
91–92	0.112372	40,264	4,525	38,001	210,062	5.2
92–93	0.126801	35,739	4,532	33,473	172,060	4.8
93–94	0.142546	31,207	4,449	28,983	138,587	4.4
94–95	0.159601	26,759	4,271	24,624	109,604	4.1
95–96	0.177924	22,488	4,001	20,488	84,980	3.8
96–97	0.197440	18,487	3,650	16,662	64,492	3.5
97–98	0.218039	14,837	3,235	13,219	47,830	3.2
98–99	0.239573	11,602	2,780	10,212	34,611	3.0
99–100	0.261865	8,822	2,310	7,667	24,399	2.8
100–over	1.000000	6,512	6,512	16,732	16,732	2.6
