Age	Probability_of_dying_between_ages_x_and_x_next	Number_surviving_to_age	Number_dying_between_ages_x_and_x_next	Person-years_lived_between_ages_x_and_x_next	Total_number_of_person-years_lived_above_age_x	Life_expectation_at_age_x
0–1	0.009788	100,000	979	99,151	7,809,763	78.1
1–2	0.000639	99,021	63	98,990	7,710,612	77.9
2–3	0.000388	98,958	38	98,939	7,611,622	76.9
3–4	0.000291	98,919	29	98,905	7,512,683	75.9
4–5	0.000249	98,891	25	98,878	7,413,778	75.0
5–6	0.000237	98,866	23	98,854	7,314,900	74.0
6–7	0.000211	98,843	21	98,832	7,216,046	73.0
7–8	0.000190	98,822	19	98,812	7,117,214	72.0
8–9	0.000172	98,803	17	98,794	7,018,401	71.0
9–10	0.000159	98,786	16	98,778	6,919,607	70.0
10–11	0.000151	98,770	15	98,763	6,820,829	69.1
11–12	0.000153	98,755	15	98,748	6,722,066	68.1
12–13	0.000165	98,740	16	98,732	6,623,318	67.1
13–14	0.000191	98,724	19	98,715	6,524,586	66.1
14–15	0.000229	98,705	23	98,694	6,425,871	65.1
15–16	0.000271	98,683	27	98,669	6,327,177	64.1
16–17	0.000318	98,656	31	98,640	6,228,508	63.1
17–18	0.000378	98,624	37	98,606	6,129,868	62.2
18–19	0.000454	98,587	45	98,565	6,031,262	61.2
19–20	0.000539	98,542	53	98,516	5,932,698	60.2
20–21	0.000634	98,489	62	98,458	5,834,182	59.2
21–22	0.000724	98,427	71	98,391	5,735,724	58.3
22–23	0.000791	98,355	78	98,317	5,637,333	57.3
23–24	0.000822	98,278	81	98,237	5,539,016	56.4
24–25	0.000830	98,197	82	98,156	5,440,779	55.4
25–26	0.000831	98,115	82	98,075	5,342,623	54.5
26–27	0.000844	98,034	83	97,992	5,244,548	53.5
27–28	0.000876	97,951	86	97,908	5,146,556	52.5
28–29	0.000938	97,865	92	97,819	5,048,648	51.6
29–30	0.001028	97,773	101	97,723	4,950,829	50.6
30–31	0.001134	97,673	111	97,617	4,853,106	49.7
31–32	0.001245	97,562	121	97,501	4,755,488	48.7
32–33	0.001360	97,441	133	97,374	4,657,987	47.8
33–34	0.001469	97,308	143	97,237	4,560,612	46.9
34–35	0.001572	97,165	153	97,089	4,463,376	45.9
35–36	0.001682	97,012	163	96,931	4,366,287	45.0
36–37	0.001803	96,849	175	96,762	4,269,356	44.1
37–38	0.001921	96,675	186	96,582	4,172,594	43.2
38–39	0.002037	96,489	197	96,391	4,076,013	42.2
39–40	0.002156	96,292	208	96,189	3,979,622	41.3
40–41	0.002289	96,085	220	95,975	3,883,434	40.4
41–42	0.002440	95,865	234	95,748	3,787,459	39.5
42–43	0.002606	95,631	249	95,506	3,691,711	38.6
43–44	0.002781	95,382	265	95,249	3,596,205	37.7
44–45	0.002967	95,116	282	94,975	3,500,956	36.8
45–46	0.003167	94,834	300	94,684	3,405,980	35.9
46–47	0.003389	94,534	320	94,374	3,311,296	35.0
47–48	0.003636	94,214	343	94,042	3,216,922	34.1
48–49	0.003918	93,871	368	93,687	3,122,880	33.3
49–50	0.004241	93,503	397	93,305	3,029,193	32.4
50–51	0.004592	93,107	428	92,893	2,935,888	31.5
51–52	0.004979	92,679	461	92,448	2,842,995	30.7
52–53	0.005424	92,218	500	91,968	2,750,547	29.8
53–54	0.005925	91,717	543	91,446	2,658,579	29.0
54–55	0.006460	91,174	589	90,880	2,567,134	28.2
55–56	0.006987	90,585	633	90,269	2,476,254	27.3
56–57	0.007524	89,952	677	89,614	2,385,985	26.5
57–58	0.008125	89,275	725	88,913	2,296,372	25.7
58–59	0.008824	88,550	781	88,159	2,207,459	24.9
59–60	0.009611	87,769	844	87,347	2,119,300	24.1
60–61	0.010462	86,925	909	86,470	2,031,953	23.4
61–62	0.011322	86,016	974	85,529	1,945,483	22.6
62–63	0.012163	85,042	1,034	84,525	1,859,954	21.9
63–64	0.012959	84,007	1,089	83,463	1,775,430	21.1
64–65	0.013738	82,919	1,139	82,349	1,691,967	20.4
65–66	0.014575	81,780	1,192	81,184	1,609,618	19.7
66–67	0.015481	80,588	1,248	79,964	1,528,434	19.0
67–68	0.016471	79,340	1,307	78,687	1,448,470	18.3
68–69	0.017483	78,033	1,364	77,351	1,369,784	17.6
69–70	0.018599	76,669	1,426	75,956	1,292,432	16.9
70–71	0.019878	75,243	1,496	74,495	1,216,476	16.2
71–72	0.021300	73,747	1,571	72,962	1,141,981	15.5
72–73	0.022739	72,176	1,641	71,356	1,069,019	14.8
73–74	0.024996	70,535	1,763	69,654	997,664	14.1
74–75	0.026821	68,772	1,845	67,850	928,010	13.5
75–76	0.029371	66,928	1,966	65,945	860,160	12.9
76–77	0.032051	64,962	2,082	63,921	794,215	12.2
77–78	0.035073	62,880	2,205	61,777	730,294	11.6
78–79	0.038198	60,674	2,318	59,516	668,517	11.0
79–80	0.041634	58,357	2,430	57,142	609,002	10.4
80–81	0.046739	55,927	2,614	54,620	551,860	9.9
81–82	0.051013	53,313	2,720	51,953	497,240	9.3
82–83	0.055918	50,593	2,829	49,179	445,286	8.8
83–84	0.062172	47,764	2,970	46,280	396,107	8.3
84–85	0.067429	44,795	3,020	43,285	349,828	7.8
85–86	0.074549	41,774	3,114	40,217	306,543	7.3
86–87	0.082316	38,660	3,182	37,069	266,326	6.9
87–88	0.090770	35,478	3,220	33,868	229,257	6.5
88–89	0.099942	32,257	3,224	30,645	195,390	6.1
