Age	Probability_of_dying_between_ages_x_and_x_next	Number_surviving_to_age	Number_dying_between_ages_x_and_x_next	Person-years_lived_between_ages_x_and_x_next	Total_number_of_person-years_lived_above_age_x	Life_expectation_at_age_x
0–1	0.011407	100,000	1,141	99,005	7,132,395	71.3
1–2	0.000699	98,859	69	98,825	7,033,390	71.1
2–3	0.000443	98,790	44	98,768	6,934,565	70.2
3–4	0.000283	98,746	28	98,732	6,835,797	69.2
4–5	0.000244	98,718	24	98,706	6,737,065	68.2
5–6	0.000265	98,694	26	98,681	6,638,358	67.3
6–7	0.000260	98,668	26	98,655	6,539,677	66.3
7–8	0.000244	98,643	24	98,631	6,441,021	65.3
8–9	0.000206	98,619	20	98,608	6,342,391	64.3
9–10	0.000153	98,598	15	98,591	6,243,783	63.3
10–11	0.000104	98,583	10	98,578	6,145,192	62.3
11–12	0.000095	98,573	9	98,568	6,046,614	61.3
12–13	0.000166	98,564	16	98,555	5,948,046	60.3
13–14	0.000341	98,547	34	98,530	5,849,490	59.4
14–15	0.000593	98,513	58	98,484	5,750,960	58.4
15–16	0.000873	98,455	86	98,412	5,652,476	57.4
16–17	0.001141	98,369	112	98,313	5,554,064	56.5
17–18	0.001399	98,257	137	98,188	5,455,751	55.5
18–19	0.001629	98,119	160	98,040	5,357,563	54.6
19–20	0.001832	97,960	179	97,870	5,259,523	53.7
20–21	0.002038	97,780	199	97,681	5,161,653	52.8
21–22	0.002236	97,581	218	97,472	5,063,972	51.9
22–23	0.002373	97,363	231	97,247	4,966,501	51.0
23–24	0.002431	97,132	236	97,014	4,869,253	50.1
24–25	0.002433	96,896	236	96,778	4,772,240	49.3
25–26	0.002415	96,660	233	96,543	4,675,462	48.4
26–27	0.002409	96,426	232	96,310	4,578,919	47.5
27–28	0.002426	96,194	233	96,078	4,482,609	46.6
28–29	0.002481	95,961	238	95,842	4,386,531	45.7
29–30	0.002572	95,723	246	95,600	4,290,689	44.8
30–31	0.002679	95,477	256	95,349	4,195,090	43.9
31–32	0.002791	95,221	266	95,088	4,099,741	43.1
32–33	0.002921	94,955	277	94,816	4,004,653	42.2
33–34	0.003063	94,678	290	94,533	3,909,837	41.3
34–35	0.003211	94,388	303	94,236	3,815,304	40.4
35–36	0.003377	94,085	318	93,926	3,721,068	39.6
36–37	0.003555	93,767	333	93,600	3,627,142	38.7
37–38	0.003727	93,434	348	93,259	3,533,542	37.8
38–39	0.003887	93,085	362	92,904	3,440,282	37.0
39–40	0.004045	92,724	375	92,536	3,347,378	36.1
40–41	0.004224	92,348	390	92,153	3,254,842	35.2
41–42	0.004433	91,958	408	91,755	3,162,689	34.4
42–43	0.004655	91,551	426	91,338	3,070,934	33.5
43–44	0.004885	91,125	445	90,902	2,979,596	32.7
44–45	0.005126	90,679	465	90,447	2,888,695	31.9
45–46	0.005392	90,215	486	89,971	2,798,248	31.0
46–47	0.005698	89,728	511	89,472	2,708,276	30.2
47–48	0.006048	89,217	540	88,947	2,618,804	29.4
48–49	0.006456	88,677	573	88,391	2,529,857	28.5
49–50	0.006933	88,105	611	87,799	2,441,466	27.7
50–51	0.007445	87,494	651	87,168	2,353,666	26.9
51–52	0.008022	86,842	697	86,494	2,266,498	26.1
52–53	0.008734	86,146	752	85,770	2,180,004	25.3
53–54	0.009594	85,393	819	84,984	2,094,234	24.5
54–55	0.010552	84,574	892	84,128	2,009,251	23.8
55–56	0.011519	83,682	964	83,200	1,925,123	23.0
56–57	0.012489	82,718	1,033	82,201	1,841,923	22.3
57–58	0.013537	81,685	1,106	81,132	1,759,722	21.5
58–59	0.014708	80,579	1,185	79,986	1,678,590	20.8
59–60	0.016000	79,394	1,270	78,759	1,598,603	20.1
60–61	0.017380	78,124	1,358	77,445	1,519,844	19.5
61–62	0.018794	76,766	1,443	76,044	1,442,400	18.8
62–63	0.020255	75,323	1,526	74,560	1,366,355	18.1
63–64	0.021765	73,797	1,606	72,994	1,291,795	17.5
64–65	0.023347	72,191	1,685	71,348	1,218,801	16.9
65–66	0.025123	70,506	1,771	69,620	1,147,453	16.3
66–67	0.027006	68,734	1,856	67,806	1,077,832	15.7
67–68	0.028790	66,878	1,925	65,916	1,010,026	15.1
68–69	0.030389	64,953	1,974	63,966	944,111	14.5
69–70	0.031662	62,979	1,994	61,982	880,145	14.0
70–71	0.033268	60,985	2,029	59,970	818,163	13.4
71–72	0.034857	58,956	2,055	57,929	758,192	12.9
72–73	0.036661	56,901	2,086	55,858	700,264	12.3
73–74	0.039214	54,815	2,150	53,740	644,406	11.8
74–75	0.041890	52,665	2,206	51,562	590,666	11.2
75–76	0.044710	50,459	2,256	49,331	539,103	10.7
76–77	0.048343	48,203	2,330	47,038	489,772	10.2
77–78	0.052196	45,873	2,394	44,676	442,734	9.7
78–79	0.056531	43,479	2,458	42,250	398,058	9.2
79–80	0.062201	41,021	2,552	39,745	355,809	8.7
80–81	0.066756	38,469	2,568	37,185	316,064	8.2
81–82	0.072597	35,901	2,606	34,598	278,878	7.8
82–83	0.079880	33,295	2,660	31,965	244,281	7.3
83–84	0.086125	30,635	2,638	29,316	212,315	6.9
84–85	0.094172	27,997	2,637	26,678	183,000	6.5
85–86	0.102419	25,360	2,597	24,062	156,321	6.2
86–87	0.111248	22,763	2,532	21,497	132,259	5.8
87–88	0.120675	20,231	2,441	19,010	110,763	5.5
88–89	0.130713	17,789	2,325	16,627	91,753	5.2
89–90	0.141369	15,464	2,186	14,371	75,126	4.9
90–91	0.152647	13,278	2,027	12,264	60,755	4.6
91–92	0.164543	11,251	1,851	10,325	48,491	4.3
92–93	0.177046	9,400	1,664	8,568	38,166	4.1
93–94	0.190140	7,736	1,471	7,000	29,598	3.8
94–95	0.203799	6,265	1,277	5,626	22,598	3.6
95–96	0.217990	4,988	1,087	4,444	16,972	3.4
96–97	0.232673	3,901	908	3,447	12,527	3.2
97–98	0.247799	2,993	742	2,622	9,080	3.0
98–99	0.263311	2,251	593	1,955	6,458	2.9
99–100	0.279148	1,659	463	1,427	4,503	2.7
100–over	1.000000	1,196	1,196	3,076	3,076	2.6
