Age	Probability_of_dying_between_ages_x_and_x_next	Number_surviving_to_age	Number_dying_between_ages_x_and_x_next	Person-years_lived_between_ages_x_and_x_next	Total_number_of_person-years_lived_above_age_x	Life_expectation_at_age_x
0–1	0.010611	100,000	1,061	99,077	7,478,477	74.8
1–2	0.000711	98,939	70	98,904	7,379,400	74.6
2–3	0.000442	98,869	44	98,847	7,280,496	73.6
3–4	0.000304	98,825	30	98,810	7,181,650	72.7
4–5	0.000261	98,795	26	98,782	7,082,840	71.7
5–6	0.000266	98,769	26	98,756	6,984,058	70.7
6–7	0.000249	98,743	25	98,730	6,885,302	69.7
7–8	0.000229	98,718	23	98,707	6,786,572	68.7
8–9	0.000202	98,695	20	98,685	6,687,865	67.8
9–10	0.000169	98,675	17	98,667	6,589,180	66.8
10–11	0.000143	98,659	14	98,652	6,490,513	65.8
11–12	0.000141	98,645	14	98,638	6,391,861	64.8
12–13	0.000183	98,631	18	98,622	6,293,224	63.8
13–14	0.000281	98,613	28	98,599	6,194,602	62.8
14–15	0.000424	98,585	42	98,564	6,096,003	61.8
15–16	0.000581	98,543	57	98,515	5,997,439	60.9
16–17	0.000736	98,486	73	98,450	5,898,924	59.9
17–18	0.000894	98,413	88	98,369	5,800,475	58.9
18–19	0.001047	98,325	103	98,274	5,702,105	58.0
19–20	0.001193	98,222	117	98,164	5,603,831	57.1
20–21	0.001344	98,105	132	98,039	5,505,667	56.1
21–22	0.001490	97,973	146	97,900	5,407,628	55.2
22–23	0.001592	97,827	156	97,750	5,309,728	54.3
23–24	0.001638	97,672	160	97,592	5,211,978	53.4
24–25	0.001644	97,512	160	97,432	5,114,386	52.4
25–26	0.001636	97,351	159	97,272	5,016,955	51.5
26–27	0.001640	97,192	159	97,112	4,919,683	50.6
27–28	0.001664	97,033	161	96,952	4,822,570	49.7
28–29	0.001719	96,871	167	96,788	4,725,618	48.8
29–30	0.001805	96,705	175	96,618	4,628,830	47.9
30–31	0.001905	96,530	184	96,438	4,532,213	47.0
31–32	0.002010	96,346	194	96,249	4,435,775	46.0
32–33	0.002127	96,153	204	96,050	4,339,525	45.1
33–34	0.002247	95,948	216	95,840	4,243,475	44.2
34–35	0.002368	95,733	227	95,619	4,147,634	43.3
35–36	0.002500	95,506	239	95,386	4,052,015	42.4
36–37	0.002644	95,267	252	95,141	3,956,629	41.5
37–38	0.002784	95,015	265	94,883	3,861,488	40.6
38–39	0.002917	94,751	276	94,612	3,766,605	39.8
39–40	0.003052	94,474	288	94,330	3,671,992	38.9
40–41	0.003205	94,186	302	94,035	3,577,662	38.0
41–42	0.003382	93,884	317	93,725	3,483,627	37.1
42–43	0.003572	93,567	334	93,399	3,389,902	36.2
43–44	0.003771	93,232	352	93,057	3,296,502	35.4
44–45	0.003981	92,881	370	92,696	3,203,446	34.5
45–46	0.004211	92,511	390	92,316	3,110,750	33.6
46–47	0.004471	92,121	412	91,916	3,018,434	32.8
47–48	0.004765	91,710	437	91,491	2,926,518	31.9
48–49	0.005105	91,273	466	91,040	2,835,027	31.1
49–50	0.005501	90,807	500	90,557	2,743,987	30.2
50–51	0.005927	90,307	535	90,040	2,653,430	29.4
51–52	0.006403	89,772	575	89,484	2,563,391	28.6
52–53	0.006974	89,197	622	88,886	2,473,906	27.7
53–54	0.007641	88,575	677	88,237	2,385,020	26.9
54–55	0.008372	87,898	736	87,530	2,296,784	26.1
