Age	Probability_of_dying_between_ages_x_and_x_next	Number_surviving_to_age	Number_dying_between_ages_x_and_x_next	Person-years_lived_between_ages_x_and_x_next	Total_number_of_person-years_lived_above_age_x	Life_expectation_at_age_x
0–1	0.004572	100,000	457	99,601	8,442,840	84.4
1–2	0.000275	99,543	27	99,529	8,343,239	83.8
2–3	0.000170	99,515	17	99,507	8,243,710	82.8
3–4	0.000142	99,499	14	99,491	8,144,203	81.9
4–5	0.000098	99,484	10	99,480	8,044,712	80.9
5–6	0.000106	99,475	11	99,469	7,945,232	79.9
6–7	0.000097	99,464	10	99,459	7,845,763	78.9
7–8	0.000091	99,454	9	99,450	7,746,304	77.9
8–9	0.000086	99,445	9	99,441	7,646,854	76.9
9–10	0.000081	99,437	8	99,433	7,547,413	75.9
10–11	0.000079	99,429	8	99,425	7,447,980	74.9
11–12	0.000082	99,421	8	99,417	7,348,555	73.9
12–13	0.000093	99,413	9	99,408	7,249,138	72.9
13–14	0.000114	99,403	11	99,398	7,149,730	71.9
14–15	0.000144	99,392	14	99,385	7,050,332	70.9
15–16	0.000177	99,378	18	99,369	6,950,947	69.9
16–17	0.000211	99,360	21	99,350	6,851,578	69.0
17–18	0.000247	99,339	24	99,327	6,752,229	68.0
18–19	0.000283	99,315	28	99,301	6,652,902	67.0
19–20	0.000318	99,287	32	99,271	6,553,601	66.0
20–21	0.000357	99,255	35	99,237	6,454,330	65.0
21–22	0.000396	99,220	39	99,200	6,355,093	64.1
22–23	0.000423	99,180	42	99,159	6,255,893	63.1
23–24	0.000434	99,138	43	99,117	6,156,734	62.1
24–25	0.000433	99,095	43	99,074	6,057,617	61.1
25–26	0.000428	99,052	42	99,031	5,958,543	60.2
26–27	0.000427	99,010	42	98,989	5,859,512	59.2
27–28	0.000435	98,968	43	98,946	5,760,523	58.2
28–29	0.000457	98,925	45	98,902	5,661,577	57.2
29–30	0.000490	98,879	48	98,855	5,562,675	56.3
30–31	0.000528	98,831	52	98,805	5,463,819	55.3
31–32	0.000567	98,779	56	98,751	5,365,015	54.3
32–33	0.000604	98,723	60	98,693	5,266,264	53.3
33–34	0.000637	98,663	63	98,632	5,167,571	52.4
34–35	0.000666	98,600	66	98,567	5,068,939	51.4
35–36	0.000698	98,535	69	98,500	4,970,372	50.4
36–37	0.000734	98,466	72	98,430	4,871,872	49.5
37–38	0.000771	98,393	76	98,356	4,773,442	48.5
38–39	0.000808	98,318	79	98,278	4,675,087	47.6
39–40	0.000848	98,238	83	98,197	4,576,809	46.6
40–41	0.000891	98,155	87	98,111	4,478,612	45.6
41–42	0.000942	98,067	92	98,021	4,380,501	44.7
42–43	0.001016	97,975	100	97,925	4,282,480	43.7
43–44	0.001120	97,876	110	97,821	4,184,554	42.8
44–45	0.001247	97,766	122	97,705	4,086,734	41.8
45–46	0.001389	97,644	136	97,576	3,989,029	40.9
46–47	0.001534	97,508	150	97,433	3,891,453	39.9
47–48	0.001672	97,359	163	97,277	3,794,019	39.0
48–49	0.001798	97,196	175	97,108	3,696,742	38.0
49–50	0.001920	97,021	186	96,928	3,599,633	37.1
50–51	0.002050	96,835	199	96,736	3,502,705	36.2
51–52	0.002204	96,636	213	96,530	3,405,970	35.2
52–53	0.002388	96,423	230	96,308	3,309,440	34.3
53–54	0.002609	96,193	251	96,068	3,213,132	33.4
54–55	0.002861	95,942	275	95,805	3,117,064	32.5
55–56	0.003126	95,668	299	95,518	3,021,260	31.6
56–57	0.003403	95,369	325	95,206	2,925,742	30.7
57–58	0.003712	95,044	353	94,868	2,830,535	29.8
58–59	0.004064	94,691	385	94,499	2,735,668	28.9
59–60	0.004461	94,306	421	94,096	2,641,169	28.0
60–61	0.004913	93,886	461	93,655	2,547,073	27.1
61–62	0.005394	93,424	504	93,172	2,453,418	26.3
62–63	0.005859	92,921	544	92,648	2,360,245	25.4
63–64	0.006279	92,376	580	92,086	2,267,597	24.5
64–65	0.006673	91,796	613	91,490	2,175,511	23.7
65–66	0.007080	91,184	646	90,861	2,084,021	22.9
66–67	0.007563	90,538	685	90,196	1,993,160	22.0
67–68	0.008160	89,853	733	89,487	1,902,965	21.2
68–69	0.008916	89,120	795	88,723	1,813,478	20.3
69–70	0.009822	88,325	868	87,892	1,724,755	19.5
