Age	Probability_of_dying_between_ages_x_and_x_next	Number_surviving_to_age	Number_dying_between_ages_x_and_x_next	Person-years_lived_between_ages_x_and_x_next	Total_number_of_person-years_lived_above_age_x	Life_expectation_at_age_x
0–1	0.005477	100,000	548	99,522	7,906,553	79.1
1–2	0.000328	99,452	33	99,436	7,807,031	78.5
2–3	0.000192	99,420	19	99,410	7,707,595	77.5
3–4	0.000163	99,401	16	99,393	7,608,185	76.5
4–5	0.000112	99,384	11	99,379	7,508,792	75.6
5–6	0.000115	99,373	11	99,368	7,409,414	74.6
6–7	0.000107	99,362	11	99,357	7,310,046	73.6
7–8	0.000100	99,351	10	99,346	7,210,690	72.6
8–9	0.000091	99,341	9	99,337	7,111,343	71.6
9–10	0.000081	99,332	8	99,328	7,012,007	70.6
10–11	0.000075	99,324	7	99,320	6,912,678	69.6
11–12	0.000083	99,317	8	99,313	6,813,358	68.6
12–13	0.000115	99,309	11	99,303	6,714,045	67.6
13–14	0.000179	99,297	18	99,288	6,614,742	66.6
14–15	0.000269	99,279	27	99,266	6,515,454	65.6
15–16	0.000372	99,253	37	99,234	6,416,188	64.6
16–17	0.000478	99,216	47	99,192	6,316,954	63.7
17–18	0.000588	99,168	58	99,139	6,217,762	62.7
18–19	0.000698	99,110	69	99,075	6,118,623	61.7
19–20	0.000806	99,041	80	99,001	6,019,548	60.8
20–21	0.000917	98,961	91	98,916	5,920,547	59.8
21–22	0.001028	98,870	102	98,819	5,821,631	58.9
22–23	0.001126	98,769	111	98,713	5,722,812	57.9
23–24	0.001205	98,657	119	98,598	5,624,099	57.0
24–25	0.001266	98,538	125	98,476	5,525,501	56.1
25–26	0.001321	98,414	130	98,349	5,427,025	55.1
26–27	0.001372	98,284	135	98,216	5,328,677	54.2
27–28	0.001409	98,149	138	98,080	5,230,460	53.3
28–29	0.001434	98,010	141	97,940	5,132,381	52.4
29–30	0.001451	97,870	142	97,799	5,034,441	51.4
30–31	0.001462	97,728	143	97,656	4,936,642	50.5
31–32	0.001476	97,585	144	97,513	4,838,985	49.6
32–33	0.001499	97,441	146	97,368	4,741,472	48.7
33–34	0.001537	97,295	149	97,220	4,644,104	47.7
34–35	0.001586	97,145	154	97,068	4,546,884	46.8
35–36	0.001641	96,991	159	96,912	4,449,816	45.9
36–37	0.001696	96,832	164	96,750	4,352,904	45.0
37–38	0.001754	96,668	170	96,583	4,256,154	44.0
38–39	0.001814	96,498	175	96,411	4,159,570	43.1
39–40	0.001880	96,323	181	96,233	4,063,159	42.2
40–41	0.001955	96,142	188	96,048	3,966,927	41.3
41–42	0.002045	95,954	196	95,856	3,870,878	40.3
42–43	0.002149	95,758	206	95,655	3,775,022	39.4
43–44	0.002269	95,552	217	95,444	3,679,367	38.5
44–45	0.002405	95,336	229	95,221	3,583,923	37.6
45–46	0.002557	95,106	243	94,985	3,488,702	36.7
46–47	0.002728	94,863	259	94,734	3,393,717	35.8
47–48	0.002924	94,604	277	94,466	3,298,983	34.9
48–49	0.003151	94,328	297	94,179	3,204,517	34.0
49–50	0.003410	94,031	321	93,870	3,110,338	33.1
50–51	0.003690	93,710	346	93,537	3,016,468	32.2
51–52	0.003999	93,364	373	93,177	2,922,931	31.3
52–53	0.004366	92,991	406	92,788	2,829,753	30.4
53–54	0.004805	92,585	445	92,362	2,736,965	29.6
54–55	0.005302	92,140	489	91,896	2,644,603	28.7
55–56	0.005844	91,651	536	91,384	2,552,707	27.9
56–57	0.006406	91,116	584	90,824	2,461,324	27.0
57–58	0.006976	90,532	632	90,216	2,370,500	26.2
58–59	0.007547	89,901	678	89,561	2,280,284	25.4
59–60	0.008133	89,222	726	88,859	2,190,722	24.6
60–61	0.008770	88,496	776	88,108	2,101,863	23.8
61–62	0.009469	87,720	831	87,305	2,013,755	23.0
62–63	0.010209	86,890	887	86,446	1,926,450	22.2
63–64	0.010981	86,003	944	85,530	1,840,004	21.4
64–65	0.011796	85,058	1,003	84,557	1,754,473	20.6
65–66	0.012679	84,055	1,066	83,522	1,669,916	19.9
66–67	0.013654	82,989	1,133	82,423	1,586,394	19.1
67–68	0.014720	81,856	1,205	81,254	1,503,972	18.4
68–69	0.015869	80,651	1,280	80,011	1,422,718	17.6
69–70	0.017096	79,371	1,357	78,693	1,342,707	16.9
70–71	0.018418	78,014	1,437	77,296	1,264,014	16.2
71–72	0.019844	76,577	1,520	75,818	1,186,718	15.5
72–73	0.021377	75,058	1,604	74,256	1,110,901	14.8
73–74	0.023060	73,453	1,694	72,606	1,036,645	14.1
74–75	0.024955	71,760	1,791	70,864	964,039	13.4
75–76	0.027109	69,969	1,897	69,020	893,174	12.8
76–77	0.029549	68,072	2,011	67,066	824,154	12.1
77–78	0.032509	66,061	2,148	64,987	757,088	11.5
78–79	0.035797	63,913	2,288	62,769	692,101	10.8
79–80	0.039505	61,625	2,434	60,408	629,332	10.2
80–81	0.043724	59,191	2,588	57,897	568,924	9.6
81–82	0.048805	56,603	2,762	55,221	511,027	9.0
82–83	0.054305	53,840	2,924	52,378	455,806	8.5
83–84	0.060452	50,916	3,078	49,377	403,428	7.9
84–85	0.067707	47,838	3,239	46,219	354,050	7.4
85–86	0.076027	44,599	3,391	42,904	307,831	6.9
86–87	0.083686	41,209	3,449	39,484	264,927	6.4
87–88	0.094257	37,760	3,559	35,981	225,443	6.0
88–89	0.105894	34,201	3,622	32,390	189,462	5.5
89–90	0.118637	30,579	3,628	28,765	157,072	5.1
90–91	0.132509	26,951	3,571	25,166	128,307	4.8
91–92	0.147515	23,380	3,449	21,656	103,141	4.4
92–93	0.163637	19,931	3,261	18,300	81,485	4.1
93–94	0.180829	16,670	3,014	15,163	63,185	3.8
94–95	0.199020	13,655	2,718	12,297	48,022	3.5
95–96	0.218107	10,938	2,386	9,745	35,726	3.3
96–97	0.237962	8,552	2,035	7,535	25,981	3.0
97–98	0.258427	6,517	1,684	5,675	18,446	2.8
98–99	0.279326	4,833	1,350	4,158	12,771	2.6
99–100	0.300464	3,483	1,046	2,960	8,613	2.5
100–over	1.000000	2,436	2,436	5,654	5,654	2.3
