Age	Probability_of_dying_between_ages_x_and_x_next	Number_surviving_to_age	Number_dying_between_ages_x_and_x_next	Person-years_lived_between_ages_x_and_x_next	Total_number_of_person-years_lived_above_age_x	Life_expectation_at_age_x
0–1	0.005034	100,000	503	99,561	8,185,203	81.9
1–2	0.000305	99,497	30	99,481	8,085,642	81.3
2–3	0.000183	99,466	18	99,457	7,986,161	80.3
3–4	0.000155	99,448	15	99,440	7,886,704	79.3
4–5	0.000106	99,433	11	99,427	7,787,263	78.3
5–6	0.000111	99,422	11	99,417	7,687,836	77.3
6–7	0.000103	99,411	10	99,406	7,588,419	76.3
7–8	0.000096	99,401	10	99,396	7,489,013	75.3
8–9	0.000089	99,391	9	99,387	7,389,617	74.3
9–10	0.000082	99,382	8	99,378	7,290,230	73.4
10–11	0.000078	99,374	8	99,370	7,190,852	72.4
11–12	0.000084	99,367	8	99,362	7,091,481	71.4
12–13	0.000106	99,358	11	99,353	6,992,119	70.4
13–14	0.000149	99,348	15	99,340	6,892,766	69.4
14–15	0.000209	99,333	21	99,322	6,793,426	68.4
15–16	0.000277	99,312	27	99,298	6,694,104	67.4
16–17	0.000347	99,285	34	99,267	6,594,805	66.4
17–18	0.000420	99,250	42	99,229	6,495,538	65.4
18–19	0.000495	99,208	49	99,184	6,396,308	64.5
19–20	0.000569	99,159	56	99,131	6,297,124	63.5
20–21	0.000646	99,103	64	99,071	6,197,993	62.5
21–22	0.000723	99,039	72	99,003	6,098,922	61.6
22–23	0.000788	98,967	78	98,928	5,999,919	60.6
23–24	0.000834	98,889	82	98,848	5,900,991	59.7
24–25	0.000865	98,807	85	98,764	5,802,143	58.7
25–26	0.000890	98,721	88	98,677	5,703,378	57.8
26–27	0.000916	98,634	90	98,588	5,604,701	56.8
27–28	0.000940	98,543	93	98,497	5,506,113	55.9
28–29	0.000964	98,451	95	98,403	5,407,616	54.9
29–30	0.000991	98,356	98	98,307	5,309,213	54.0
30–31	0.001018	98,258	100	98,208	5,210,906	53.0
31–32	0.001046	98,158	103	98,107	5,112,698	52.1
32–33	0.001077	98,055	106	98,003	5,014,591	51.1
33–34	0.001111	97,950	109	97,895	4,916,588	50.2
34–35	0.001148	97,841	112	97,785	4,818,693	49.3
35–36	0.001188	97,729	116	97,671	4,720,908	48.3
36–37	0.001231	97,613	120	97,553	4,623,237	47.4
37–38	0.001276	97,492	124	97,430	4,525,685	46.4
38–39	0.001323	97,368	129	97,304	4,428,254	45.5
39–40	0.001376	97,239	134	97,172	4,330,951	44.5
40–41	0.001434	97,105	139	97,036	4,233,779	43.6
41–42	0.001503	96,966	146	96,893	4,136,743	42.7
42–43	0.001591	96,820	154	96,743	4,039,850	41.7
43–44	0.001703	96,666	165	96,584	3,943,106	40.8
44–45	0.001833	96,502	177	96,413	3,846,522	39.9
45–46	0.001980	96,325	191	96,229	3,750,109	38.9
46–47	0.002137	96,134	205	96,031	3,653,880	38.0
47–48	0.002304	95,929	221	95,818	3,557,848	37.1
48–49	0.002482	95,708	238	95,589	3,462,030	36.2
49–50	0.002675	95,470	255	95,342	3,366,441	35.3
50–51	0.002882	95,215	274	95,077	3,271,099	34.4
51–52	0.003116	94,940	296	94,792	3,176,021	33.5
52–53	0.003393	94,644	321	94,484	3,081,229	32.6
53–54	0.003722	94,323	351	94,148	2,986,745	31.7
54–55	0.004091	93,972	384	93,780	2,892,598	30.8
55–56	0.004486	93,588	420	93,378	2,798,818	29.9
56–57	0.004897	93,168	456	92,940	2,705,440	29.0
57–58	0.005326	92,712	494	92,465	2,612,500	28.2
58–59	0.005778	92,218	533	91,951	2,520,035	27.3
59–60	0.006260	91,685	574	91,398	2,428,084	26.5
60–61	0.006794	91,111	619	90,802	2,336,686	25.6
61–62	0.007369	90,492	667	90,159	2,245,884	24.8
62–63	0.007953	89,825	714	89,468	2,155,725	24.0
63–64	0.008523	89,111	760	88,731	2,066,257	23.2
64–65	0.009095	88,351	804	87,950	1,977,526	22.4
65–66	0.009701	87,548	849	87,123	1,889,576	21.6
66–67	0.010386	86,699	900	86,248	1,802,453	20.8
67–68	0.011174	85,798	959	85,319	1,716,205	20.0
68–69	0.012091	84,840	1,026	84,327	1,630,886	19.2
69–70	0.013130	83,814	1,101	83,263	1,546,559	18.5
70–71	0.014284	82,713	1,181	82,122	1,463,296	17.7
71–72	0.015531	81,532	1,266	80,899	1,381,173	16.9
72–73	0.016865	80,266	1,354	79,589	1,300,275	16.2
73–74	0.018298	78,912	1,444	78,190	1,220,686	15.5
74–75	0.019881	77,468	1,540	76,698	1,142,496	14.7
75–76	0.021658	75,928	1,644	75,106	1,065,798	14.0
76–77	0.023711	74,283	1,761	73,403	990,693	13.3
77–78	0.026219	72,522	1,901	71,571	917,290	12.6
78–79	0.029047	70,620	2,051	69,595	845,719	12.0
79–80	0.032260	68,569	2,212	67,463	776,124	11.3
80–81	0.035783	66,357	2,374	65,170	708,661	10.7
81–82	0.039885	63,983	2,552	62,707	643,491	10.1
82–83	0.044723	61,431	2,747	60,057	580,784	9.5
83–84	0.050101	58,683	2,940	57,213	520,727	8.9
84–85	0.055793	55,743	3,110	54,188	463,514	8.3
85–86	0.062864	52,633	3,309	50,979	409,326	7.8
86–87	0.069773	49,324	3,442	47,604	358,347	7.3
87–88	0.078488	45,883	3,601	44,082	310,743	6.8
88–89	0.088111	42,282	3,725	40,419	266,661	6.3
89–90	0.098689	38,556	3,805	36,654	226,242	5.9
90–91	0.110264	34,751	3,832	32,835	189,588	5.5
91–92	0.122863	30,919	3,799	29,020	156,753	5.1
92–93	0.136500	27,120	3,702	25,270	127,733	4.7
93–94	0.151169	23,419	3,540	21,648	102,463	4.4
94–95	0.166847	19,878	3,317	18,220	80,815	4.1
95–96	0.183484	16,562	3,039	15,042	62,595	3.8
96–97	0.201009	13,523	2,718	12,164	47,553	3.5
97–98	0.219324	10,805	2,370	9,620	35,389	3.3
98–99	0.238309	8,435	2,010	7,430	25,769	3.1
99–100	0.257821	6,425	1,656	5,597	18,339	2.9
100–over	1.000000	4,768	4,768	12,742	12,742	2.7
