Age	Probability_of_dying_between_ages_x_and_x_next	Number_surviving_to_age	Number_dying_between_ages_x_and_x_next	Person-years_lived_between_ages_x_and_x_next	Total_number_of_person-years_lived_above_age_x	Life_expectation_at_age_x
0–1	0.004479	100,000	448	99,608	7,877,626	78.8
1–2	0.000341	99,552	34	99,535	7,778,018	78.1
2–3	0.000203	99,518	20	99,508	7,678,483	77.2
3–4	0.000159	99,498	16	99,490	7,578,975	76.2
4–5	0.000134	99,482	13	99,475	7,479,485	75.2
5–6	0.000119	99,469	12	99,463	7,380,010	74.2
6–7	0.000106	99,457	11	99,452	7,280,547	73.2
7–8	0.000098	99,446	10	99,442	7,181,095	72.2
8–9	0.000093	99,437	9	99,432	7,081,653	71.2
9–10	0.000092	99,427	9	99,423	6,982,221	70.2
10–11	0.000097	99,418	10	99,414	6,882,798	69.2
11–12	0.000111	99,409	11	99,403	6,783,385	68.2
12–13	0.000137	99,398	14	99,391	6,683,982	67.2
13–14	0.000179	99,384	18	99,375	6,584,591	66.3
14–15	0.000232	99,366	23	99,355	6,485,215	65.3
15–16	0.000291	99,343	29	99,329	6,385,861	64.3
16–17	0.000354	99,314	35	99,297	6,286,532	63.3
17–18	0.000425	99,279	42	99,258	6,187,235	62.3
18–19	0.000504	99,237	50	99,212	6,087,977	61.3
19–20	0.000589	99,187	58	99,158	5,988,765	60.4
20–21	0.000680	99,128	67	99,095	5,889,608	59.4
21–22	0.000770	99,061	76	99,023	5,790,513	58.5
22–23	0.000854	98,985	85	98,943	5,691,490	57.5
23–24	0.000928	98,900	92	98,854	5,592,547	56.5
24–25	0.000992	98,809	98	98,760	5,493,693	55.6
25–26	0.001052	98,711	104	98,659	5,394,933	54.7
26–27	0.001113	98,607	110	98,552	5,296,274	53.7
27–28	0.001174	98,497	116	98,439	5,197,722	52.8
28–29	0.001238	98,381	122	98,321	5,099,283	51.8
29–30	0.001306	98,260	128	98,195	5,000,963	50.9
30–31	0.001376	98,131	135	98,064	4,902,767	50.0
31–32	0.001447	97,996	142	97,925	4,804,703	49.0
32–33	0.001520	97,854	149	97,780	4,706,778	48.1
33–34	0.001593	97,706	156	97,628	4,608,998	47.2
34–35	0.001665	97,550	162	97,469	4,511,370	46.2
35–36	0.001746	97,388	170	97,303	4,413,901	45.3
36–37	0.001829	97,218	178	97,129	4,316,599	44.4
37–38	0.001903	97,040	185	96,947	4,219,470	43.5
