Year	Population_all	Population_male	Population_female	Hispanic_all	Hispanic_male	Hispanic_female	Native_all	Native_male	Native_female	Asian_all	Asian_male	Asian_female	Black_all	Black_male	Black_female	White_all	White_male	White_female
2021	76.4	73.5	79.3	77.8	74.6	81.1	65.6	62.2	69.2	83.5	81.2	85.6	71.2	67.6	75.0	76.7	74.0	79.5
2020	77.0	74.2	79.9	77.9	74.6	81.3	67.1	63.8	70.7	83.6	81.1	85.9	71.5	67.8	75.4	77.4	74.8	80.1
2019	78.8	76.3	81.4	81.9	79.1	84.4	71.8	68.6	75.0	85.6	83.5	87.4	74.8	71.3	78.1	78.8	76.3	81.3
2018	78.7	76.2	81.2	81.8	79.1	84.3	---	---	---	---	---	---	74.7	71.3	78.0	78.6	76.2	81.1
2017	78.6	76.1	81.1	81.8	79.1	84.3	---	---	---	---	---	---	74.9	71.5	78.1	78.5	76.1	81.0
2016	78.7	76.2	81.1	81.8	79.1	84.3	---	---	---	---	---	---	74.9	71.6	78.0	78.6	76.2	81.0
2015	78.7	76.3	81.1	81.9	79.3	84.3	---	---	---	---	---	---	75.1	71.9	78.1	78.7	76.3	81.0
2014	78.9	76.5	81.3	82.1	79.4	84.5	---	---	---	---	---	---	75.3	72.2	78.2	78.8	76.5	81.2
2013	78.8	76.4	81.2	81.9	79.2	84.2	---	---	---	---	---	---	75.1	71.9	78.1	78.8	76.5	81.2
2012	78.8	76.4	81.2	81.9	79.3	84.3	---	---	---	---	---	---	75.1	71.9	78.1	78.9	76.5	81.2
2011	78.7	76.3	81.1	81.8	79.2	84.2	---	---	---	---	---	---	75.0	71.8	77.8	78.7	76.4	81.1
2010	78.7	76.2	81.0	81.7	78.8	84.3	---	---	---	---	---	---	74.7	71.5	77.7	78.8	76.4	81.1
2009	78.5	76.0	80.9	81.1	78.4	83.5	---	---	---	---	---	---	74.4	71.0	77.4	78.7	76.3	81.0
2008	78.2	75.6	80.6	80.8	78.0	83.3	---	---	---	---	---	---	73.9	70.5	77.0	78.4	76.0	80.7
2007	78.1	75.5	80.6	80.7	77.8	83.2	---	---	---	---	---	---	73.5	69.9	76.7	78.4	75.9	80.8
2006	77.8	75.2	80.3	80.3	77.5	82.9	---	---	---	---	---	---	73.1	69.5	76.4	78.2	75.7	80.6
2005	77.6	75.0	80.1	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
2004	77.6	75.0	80.1	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
2003	77.2	74.5	79.7	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
2002	77.0	74.4	79.6	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
2001	77.0	74.3	79.5	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
2000	76.8	74.1	79.3	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1999	76.7	73.9	79.4	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1998	76.7	73.8	79.5	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1997	76.5	73.6	79.4	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1996	76.1	73.1	79.1	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1995	75.8	72.5	78.9	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1994	75.7	72.4	79.0	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1993	75.5	72.2	78.8	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1992	75.8	72.3	79.1	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1991	75.5	72.0	78.9	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1990	75.4	71.8	78.8	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1989	75.1	71.7	78.5	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1988	74.9	71.4	78.3	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1987	74.9	71.4	78.3	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1986	74.7	71.2	78.2	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1985	74.7	71.1	78.2	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1984	74.7	71.1	78.2	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1983	74.6	71.0	78.1	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1982	74.5	70.8	78.1	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1981	74.1	70.4	77.8	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1980	73.7	70.0	77.4	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1979	73.9	70.0	77.8	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
