Area	Rank_total	Total	Standard_error_total	Rank_male	Male	Standard_error_male	Rank_female	Female	Standard_error_female
Hawaii	1	80.7	0.119	1	77.6	0.170	1	83.8	0.159
Washington	2	79.2	0.049	2	76.9	0.072	3	81.6	0.065
Minnesota	3	79.1	0.056	3	76.8	0.083	7	81.4	0.074
California	4	79.0	0.022	8	76.2	0.032	2	82.0	0.029
Massachusetts	5	79.0	0.050	6	76.4	0.074	4	81.5	0.065
New Hampshire	6	79.0	0.117	5	76.5	0.173	5	81.5	0.153
Vermont	7	78.8	0.178	9	76.1	0.270	6	81.4	0.227
Oregon	8	78.8	0.067	7	76.3	0.099	8	81.3	0.088
Utah	9	78.6	0.078	4	76.7	0.113	15	80.6	0.105
Connecticut	10	78.4	0.073	12	75.6	0.109	9	81.3	0.093
Idaho	11	78.4	0.102	10	76.1	0.150	12	80.8	0.136
Colorado	12	78.3	0.058	11	75.8	0.085	11	80.9	0.077
Rhode Island	13	78.2	0.130	13	75.5	0.192	10	80.9	0.170
Maine	14	77.8	0.127	18	74.9	0.189	14	80.7	0.162
New York	15	77.7	0.031	19	74.8	0.045	13	80.7	0.040
Nebraska	16	77.7	0.099	15	75.2	0.145	18	80.3	0.131
Wisconsin	17	77.7	0.058	14	75.2	0.085	19	80.3	0.078
Virginia	18	77.6	0.048	16	75.1	0.070	21	80.1	0.064
Florida	19	77.5	0.032	20	74.6	0.047	16	80.5	0.042
New Jersey	20	77.5	0.045	21	74.6	0.066	17	80.5	0.059
Iowa	21	77.5	0.077	17	74.9	0.112	20	80.1	0.102
United States	…	77.0	…	…	74.2	…	…	79.9	…
North Dakota	22	76.9	0.164	24	74.2	0.236	22	80.0	0.220
Montana	23	76.8	0.142	23	74.2	0.203	26	79.6	0.193
Maryland	24	76.8	0.059	30	73.8	0.087	24	79.7	0.076
Pennsylvania	25	76.8	0.040	26	74.0	0.059	25	79.6	0.052
Illinois	26	76.8	0.040	29	73.8	0.059	23	79.8	0.052
Delaware	27	76.7	0.147	28	73.9	0.219	28	79.5	0.191
South Dakota	28	76.7	0.156	25	74.2	0.221	29	79.4	0.217
Alaska	29	76.6	0.176	22	74.3	0.249	31	79.2	0.242
Texas	30	76.5	0.026	32	73.7	0.038	30	79.3	0.035
Kansas	31	76.4	0.084	31	73.8	0.122	32	79.2	0.112
Wyoming	32	76.3	0.191	27	74.0	0.275	35	78.9	0.259
Arizona	33	76.3	0.055	35	73.4	0.081	27	79.5	0.072
Nevada	34	76.3	0.080	33	73.5	0.117	33	79.2	0.106
North Carolina	35	76.1	0.045	36	73.3	0.067	34	79.0	0.059
Michigan	36	76.0	0.046	34	73.4	0.067	36	78.8	0.062
Georgia	37	75.6	0.044	37	72.8	0.064	38	78.3	0.058
Ohio	38	75.3	0.043	38	72.5	0.062	40	78.1	0.057
District of Columbia	39	75.3	0.179	41	71.7	0.266	37	78.7	0.233
Missouri	40	75.1	0.059	40	72.1	0.087	39	78.1	0.078
Indiana	41	75.0	0.056	39	72.3	0.082	42	77.9	0.075
South Carolina	42	74.8	0.066	42	71.7	0.098	41	78.0	0.087
New Mexico	43	74.5	0.109	44	71.3	0.158	43	77.8	0.145
Oklahoma	44	74.1	0.072	43	71.5	0.104	45	76.9	0.097
Arkansas	45	73.8	0.086	45	71.1	0.125	46	76.6	0.116
Tennessee	46	73.8	0.057	46	70.7	0.083	44	77.0	0.074
Kentucky	47	73.5	0.071	47	70.6	0.102	47	76.5	0.094
Alabama	48	73.2	0.067	48	70.1	0.099	48	76.4	0.088
Louisiana	49	73.1	0.070	49	69.9	0.102	49	76.4	0.093
West Virginia	50	72.8	0.118	50	69.8	0.170	50	76.1	0.158
Mississippi	51	71.9	0.089	51	68.6	0.130	51	75.2	0.118
