year,females,overall,males
1990,74.3,69.2,63.7
1991,74.2,68.9,63.4
1992,73.7,67.8,61.9
1993,71.8,65.0,58.8
1994,71.1,63.9,57.4
1995,71.6,64.5,58.1
1996,72.4,65.8,59.6
1997,72.8,66.7,60.9
1998,73.1,67.1,61.2
1999,72.4,65.9,59.9
2000,72.3,65.3,59.0
2001,72.2,65.2,58.9
2002,71.9,65.0,58.7
2003,71.9,64.9,58.6
2004,72.4,65.3,58.9
2005,72.5,65.4,58.9
2006,73.3,66.7,60.4
2007,74.0,67.6,61.5
2008,74.3,68.0,61.9
2009,74.8,68.8,62.9
2010,74.9,68.9,63.1
2011,75.61,69.83,64.04
2012,75.86,70.24,64.56
2013,76.3,70.76,65.13
2014,76.47,70.93,65.29
2015,76.71,71.39,65.92
2016,77.06,71.87,66.5
2017,77.64,72.7,67.51
2018,77.82,72.91,67.75
2019,78.17,73.34,68.24
2020,76.43,71.54,66.49
2021,74.51,70.06,65.51
