регион России;2019;2020
Республика Ингушетия;83.4;81.48
Республика Дагестан;79.1;76.43
г. Москва;78.36;76.2
Карачаево-Черкесская Республика;76.21;74.82
Кабардино-Балкарская Республика;76.46;74.37
Республика Северная Осетия-Алания;75.75;74.08
г. Санкт-Петербург;76.31;73.99
г. Севастополь;73.53;73.58
Республика Адыгея;73.85;73.27
Ставропольский край;74.66;73.2
Калининградская область;73.56;72.93
Республика Калмыкия;74.84;72.93
Ханты-Мансийский автономный округ - Югра;75.04;72.87
Республика Татарстан;75.03;72.61
Белгородская область;74.21;72.37
Краснодарский край;73.91;72.24
Чеченская Республика;75.88;72.11
Ростовская область;73.69;72.04
Астраханская область;73.86;72.01
Волгоградская область;74.07;71.98
Воронежская область;73.63;71.91
Ямало-Ненецкий автономный округ;74.18;71.91
Тамбовская область;73.56;71.78
Московская область;73.86;71.67
Республика Мордовия;73.95;71.6
Ленинградская область;73.64;71.53
Кировская область;72.96;71.42
Архангельская область (кроме АО);72.3;71.39
Пензенская область;73.61;71.34
Тюменская область (кроме двух АО);72.75;71.34
Республика Крым;72.71;71.2
Томская область;72.85;71.17
Саратовская область;73.07;71.14
Республика Саха (Якутия);73.0;71.1
Республика Марий Эл;72.9;71.05
Чувашская Республика (Чувашия);73.44;71.03
Удмуртская Республика;72.8;71.03
Ульяновская область;72.96;70.98
Рязанская область;73.2;70.95
Ярославская область;72.92;70.94
Костромская область;72.35;70.92
Вологодская область;71.82;70.71
Ивановская область;71.84;70.66
Брянская область;72.31;70.63
Липецкая область;73.34;70.59
Курская область;72.27;70.52
Самарская область;72.77;70.45
Ненецкий автономный округ;73.19;70.4
Калужская область;72.35;70.38
Республика Башкортостан;72.64;70.36
Нижегородская область;72.32;70.33
Омская область;72.32;70.32
Новосибирская область;72.25;70.32
Республика Коми;71.3;70.3
Челябинская область;72.08;70.29
Республика Бурятия;70.77;70.29
Тульская область;72.21;70.2
Алтайский край;71.61;70.19
Свердловская область;71.81;70.15
Орловская область;72.56;70.1
Смоленская область;71.89;70.1
Республика Хакасия;71.05;70.06
Владимирская область;71.87;70.03
Курганская область;71.14;69.94
Красноярский край;71.16;69.82
Мурманская область;71.75;69.81
Тверская область;71.24;69.76
Оренбургская область;72.04;69.73
Сахалинская область;70.28;69.73
Республика Карелия;71.46;69.63
Пермский край;71.32;69.59
Новгородская область;70.52;69.59
Приморский край;70.54;69.55
Камчатский край;70.57;69.27
Республика Алтай;70.29;69.15
Псковская область;70.65;69.13
Магаданская область;69.66;69.04
Хабаровский край;70.05;68.61
Кемеровская область - Кузбасс;69.78;68.51
Иркутская область;69.55;68.25
Забайкальский край;68.88;68.23
Еврейская автономная область;68.08;67.5
Амурская область;68.66;67.38
Республика Тыва;67.57;66.25
Чукотский автономный округ;68.09;65.82
